id;timestamp_utc;name;description;address;register_type;raw_value;value;unit;source
7800;2026-08-04T08:15:26.323637+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
7801;2026-08-04T08:15:31.704971+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
7802;2026-08-04T08:15:31.705142+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
7803;2026-08-04T08:15:31.705180+00:00;outdoor_temperature;Außentemperatur;247;holding;22.0;22.0;°C;/dev/ttyUSB0
7804;2026-08-04T08:15:31.705205+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
7805;2026-08-04T08:15:31.705226+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
7806;2026-08-04T08:15:31.705282+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
7807;2026-08-04T08:15:31.705306+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
7808;2026-08-04T08:15:31.705327+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
7809;2026-08-04T08:15:37.118153+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
7810;2026-08-04T08:15:37.118341+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
7811;2026-08-04T08:15:37.118385+00:00;outdoor_temperature;Außentemperatur;247;holding;22.0;22.0;°C;/dev/ttyUSB0
7812;2026-08-04T08:15:37.118412+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
7813;2026-08-04T08:15:37.118437+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
7814;2026-08-04T08:15:37.118461+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
7815;2026-08-04T08:15:37.118484+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
7816;2026-08-04T08:15:37.118507+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
7817;2026-08-04T08:15:42.530347+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
7818;2026-08-04T08:15:42.530589+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
7819;2026-08-04T08:15:42.530671+00:00;outdoor_temperature;Außentemperatur;247;holding;22.0;22.0;°C;/dev/ttyUSB0
7820;2026-08-04T08:15:42.530702+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
7821;2026-08-04T08:15:42.530729+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
7822;2026-08-04T08:15:42.530754+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
7823;2026-08-04T08:15:42.530779+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
7824;2026-08-04T08:15:42.530803+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
7825;2026-08-04T08:15:47.926034+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
7826;2026-08-04T08:15:47.926226+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
7827;2026-08-04T08:15:47.926271+00:00;outdoor_temperature;Außentemperatur;247;holding;22.0;22.0;°C;/dev/ttyUSB0
7828;2026-08-04T08:15:47.926299+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
